$id,title,description,status,latitude,longitude,textAddress,duration,serviceType,user
99c3bf87-fa1b-4be3-8760-4939e78a4da8,Install water heater,Replace old heater with new electric model.,in progress,33.565887,-7.592962,"Boulevard Zerktouni, Casablanca, Morocco",6,Plumber,
60795831-70de-425f-9825-e3fa562d3b8b,Tree trimming,Trim three large trees and dispose of branches.,completed,33.563283,-7.600017,"Avenue des FAR, Casablanca, Morocco",5,Gardener,
0e39fbff-fb3f-4108-aef2-5f43ae3e108d,Seasonal garden cleanup,"Remove fallen leaves, prune trees, and fertilize soil.",completed,33.587463,-7.600084,"Rue de Fès, Casablanca, Morocco",4,Gardener,
f7db8ea0-1e8c-4bb7-8055-44fa5d56c8ca,Install ceiling fans,Install two ceiling fans with remote controls.,in progress,33.574845,-7.573107,"Rue de Fès, Casablanca, Morocco",3,Electrician,
3954681c-cb30-46dc-a32c-039efd44f64e,Fix toilet flush,"Toilet flush not working properly, needs repair.",completed,33.572819,-7.605093,"Boulevard Mohamed V, Casablanca, Morocco",6,Plumber,
a36f22e9-1377-4f52-b1df-13aff10fe3da,Kitchen sink clog,Water drains very slowly; needs inspection.,in progress,33.572623,-7.573322,"Avenue des FAR, Casablanca, Morocco",6,Plumber,
4076d45f-d460-4378-b525-231780e604c5,Replace light switches,"Need to replace old, broken light switches in all rooms.",in progress,33.574637,-7.589616,"Boulevard Mohamed V, Casablanca, Morocco",6,Electrician,
4b122c33-3c26-4d03-986b-d1a2ccaa2258,Tree trimming,Trim three large trees and dispose of branches.,completed,33.579331,-7.593288,"Boulevard Mohamed V, Casablanca, Morocco",4,Gardener,
398ead5f-3064-4fa7-85dd-427d506eda90,Install irrigation system,Set up automatic irrigation for front and backyard.,completed,33.577952,-7.599838,"Boulevard Zerktouni, Casablanca, Morocco",7,Gardener,
afec1f7a-b40f-4c29-9afe-0cf9db322879,Assemble wardrobe,Assemble a 3-door IKEA PAX wardrobe.,completed,33.573114,-7.60944,"Boulevard Zerktouni, Casablanca, Morocco",1,Joiner,
7452f773-3ae3-4f24-9deb-a2fb1b9609e5,Carpet and upholstery cleaning,Steam clean all carpets and sofas in the house.,completed,33.55442,-7.587938,"Boulevard Zerktouni, Casablanca, Morocco",6,Cleaner,
6f8c88ca-bba5-4b31-a8e3-549a959f81a8,Install water heater,Replace old heater with new electric model.,in progress,33.589282,-7.591814,"Boulevard Zerktouni, Casablanca, Morocco",3,Plumber,
c790ba10-bd50-418d-928c-46785bc018b6,Seasonal garden cleanup,"Remove fallen leaves, prune trees, and fertilize soil.",completed,33.553737,-7.605063,"Avenue des FAR, Casablanca, Morocco",4,Gardener,
55e01c12-3de7-4129-8cc6-2f5b84632595,Seasonal garden cleanup,"Remove fallen leaves, prune trees, and fertilize soil.",completed,33.580402,-7.585502,"Boulevard Mohamed V, Casablanca, Morocco",1,Gardener,
6abf7b9d-8cb4-49d9-ac1f-fa8ae4b5eb98,Fix outdoor lighting,Repair malfunctioning garden lights and check wiring.,completed,33.591373,-7.585165,"Boulevard Mohamed V, Casablanca, Morocco",7,Electrician,
dd057911-9b98-427e-b277-a3feca1c7f04,Tree trimming,Trim three large trees and dispose of branches.,in progress,33.577795,-7.597415,"Avenue des FAR, Casablanca, Morocco",3,Gardener,
5b41d2b2-3bdb-4676-8dbf-062832596d26,Install water heater,Replace old heater with new electric model.,in progress,33.569954,-7.574984,"Rue de Fès, Casablanca, Morocco",4,Plumber,
debef382-7a00-4e9b-877c-f379a8176a81,Home rewiring,Full rewiring of a 3-bedroom house due to outdated electrical system.,in progress,33.575049,-7.591668,"Boulevard Zerktouni, Casablanca, Morocco",5,Electrician,
a4e6eb6b-3e0a-47cf-8318-2d0c02963577,Fix squeaky floorboards,Tighten or replace squeaky wooden floorboards.,completed,33.557729,-7.580689,"Avenue Hassan II, Casablanca, Morocco",5,Joiner,
fa9340ba-77f9-42cd-b44c-37a251240c48,Install ceiling fans,Install two ceiling fans with remote controls.,in progress,33.567142,-7.580466,"Rue de Fès, Casablanca, Morocco",5,Electrician,
d6e95e89-bef1-4d5c-90cb-d6060785973e,Fix squeaky floorboards,Tighten or replace squeaky wooden floorboards.,completed,33.581128,-7.5977,"Avenue des FAR, Casablanca, Morocco",1,Joiner,
ab47bcd2-95f3-4d27-a0a7-f6ee79e8d4a4,Fix outdoor lighting,Repair malfunctioning garden lights and check wiring.,completed,33.566455,-7.604657,"Boulevard Mohamed V, Casablanca, Morocco",1,Electrician,
e00df79c-3fbb-44c0-95db-bb00657f9384,Bathroom plumbing upgrade,Replace all faucets and pipes in bathroom.,in progress,33.590953,-7.599367,"Avenue Hassan II, Casablanca, Morocco",7,Plumber,
f8b6296d-2908-4dfe-ba03-f6cd50a63dc5,Office space cleaning,Clean and sanitize a small office (80 sqm).,completed,33.585135,-7.597094,"Rue de Fès, Casablanca, Morocco",7,Cleaner,
f50a7a2f-3ac7-47b0-8e54-e2fa9fd81e19,Office space cleaning,Clean and sanitize a small office (80 sqm).,completed,33.579548,-7.5957,"Avenue Hassan II, Casablanca, Morocco",5,Cleaner,
67f63326-eaf2-4423-92b7-1513e11bf40a,Carpet and upholstery cleaning,Steam clean all carpets and sofas in the house.,completed,33.573159,-7.60556,"Avenue des FAR, Casablanca, Morocco",4,Cleaner,
8a40bc73-7ac1-417e-a76c-d4f21d60fc0d,Home rewiring,Full rewiring of a 3-bedroom house due to outdated electrical system.,in progress,33.556472,-7.592326,"Boulevard Mohamed V, Casablanca, Morocco",1,Electrician,
